| score | odds |
| --- | --- |
| 14 | 17617 out of 1202755 times |
| 15 | 36253 out of 1202755 times |
| 16 | 56161 out of 1202755 times |
| 17 | 77081 out of 1202755 times |
| 18 | 99244 out of 1202755 times |
| 19 | 104869 out of 1202755 times |
| 20 | 110831 out of 1202755 times |
| 21 | 99118 out of 1202755 times |
| 22 | 86515 out of 1202755 times |
| 23 | 72881 out of 1202755 times |
| 24 | 58237 out of 1202755 times |
| 25 | 42580 out of 1202755 times |
| 26 | 43439 out of 1202755 times |
| 27 | 43128 out of 1202755 times |
| 28 | 41718 out of 1202755 times |
| 29 | 39160 out of 1202755 times |
| 30 | 35285 out of 1202755 times |
| 31 | 30228 out of 1202755 times |
| 32 | 24891 out of 1202755 times |
| 33 | 19299 out of 1202755 times |
| 34 | 14604 out of 1202755 times |
| 35 | 10818 out of 1202755 times |
| 36 | 7998 out of 1202755 times |
| 37 | 6169 out of 1202755 times |
| 38 | 5377 out of 1202755 times |
| 39 | 4573 out of 1202755 times |
| 40 | 3792 out of 1202755 times |
| 41 | 3042 out of 1202755 times |
| 42 | 2337 out of 1202755 times |
| 43 | 1725 out of 1202755 times |
| 44 | 1220 out of 1202755 times |
| 45 | 823 out of 1202755 times |
| 46 | 547 out of 1202755 times |
| 47 | 356 out of 1202755 times |
| 48 | 239 out of 1202755 times |
| 49 | 172 out of 1202755 times |
| 50 | 133 out of 1202755 times |
| 51 | 99 out of 1202755 times |
| 52 | 72 out of 1202755 times |
| 53 | 50 out of 1202755 times |
| 54 | 32 out of 1202755 times |
| 55 | 20 out of 1202755 times |
| 56 | 11 out of 1202755 times |
| 57 | 6 out of 1202755 times |
| 58 | 2 out of 1202755 times |
| 59 | 1 out of 1202755 times |

(105,842,423 simulations)
